Playlist,Song,SongID,Artist,Acousticness,Danceability,Duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Biden,I Am the Highway,3bwAS8cN7Xtzvv5UurJOOX,Audioslave,0.105,0.341,334.907,0.662,0,9,0.113,-5.023,0,0.0335,174.875,4,0.2
Biden,Hey Ya!,2hopb3OJKYhhZ6L4ca9pBp,Various Artists,0.0666,0.724,235.533,0.955,0.00027,0,0.139,-3.9,1,0.0565,79.508,4,0.966
Biden,Juice,0k664IuFwVP557Gnx7RhIl,Lizzo,0.00611,0.767,195.145,0.889,0,7,0.402,-2.988,1,0.0963,119.93,4,0.843
Biden,cardigan,4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,0.537,0.613,239.56,0.581,0.000345,0,0.25,-8.588,0,0.0424,130.033,4,0.551
Biden,The Man,5aWhs651KYM26HYM16kRdk,The Killers,0.0737,0.606,250.093,0.942,2.23e-06,6,0.0709,-2.598,0,0.115,106.02,4,0.519
Biden,Livin' On A Prayer,37ZJ0p5Jm13JPevGcx4SkF,Bon Jovi,0.0778,0.532,249.293,0.887,0.000214,0,0.294,-3.757,1,0.0335,122.511,4,0.795
Biden,You Make My Dreams (Come True),4o6BgsqLIBViaGVbx5rbRk,Daryl Hall & John Oates,0.234,0.751,190.627,0.501,0.112,5,0.0467,-12.151,1,0.0551,167.057,4,0.902
Biden,Higher Ground,0dMd4rilfd6gPbXaLpNYhu,Stevie Wonder,0.0631,0.716,222.6,0.85,0.00133,8,0.189,-9.949,1,0.0426,125.474,4,0.821
Biden,She Blinded Me With Science - 2009 Remastered Version,6y9VZNRczyKeQihebHSMJ8,Thomas Dolby,0.0725,0.798,222.387,0.767,0.138,9,0.0985,-10.502,1,0.0421,129.401,4,0.974
Biden,"Signed, Sealed, Delivered (I'm Yours)",2eF8pWbiivYsYRpbntYsnc,Stevie Wonder,0.0534,0.675,161.16,0.597,0,5,0.0986,-11.329,1,0.0337,108.875,4,0.828
Biden,I Will Always Love You,77bNe6jYY8yHdP7orXrz5I,Dolly Parton,0.96,0.446,176.093,0.142,0.00114,9,0.101,-13.498,1,0.0335,135.724,4,0.156
Biden,Feel the Love,2h3DdixVhKugOicVJU8Qz3,Daði Freyr,0.00567,0.746,195.307,0.693,0.00024,1,0.0301,-7.34,1,0.0494,120.127,4,0.489
Biden,AOC - Extended,3gix13vJGfozz6I1j2rbDC,Dombrance,0.473,0.761,229.88,0.739,0.00113,8,0.106,-7.243,0,0.03,120.006,4,0.662
Biden,Obama,1mlecfEJgnPkAjABkyG3bs,Dombrance,0.0352,0.786,378.213,0.74,0.881,5,0.577,-10.548,0,0.063,120.014,4,0.602
Trump,Start Me Up - Remastered 2009,7HKez549fwJQDzx3zLjHKC,The Rolling Stones,0.0436,0.631,213.067,0.932,0.137,5,0.0918,-4.142,1,0.0354,122.429,4,0.971
